ID,Name,Age,Gender,Salary,Department,Joining_Date,Performance_Score,Remarks
59,Alice,30,M,60000,IT,2020-01-15,5,Needs Improvement
60,David,20,Male,30000,Marketing,2019-07-01,3,Excellent
61,,,Unknown,,Marketing,2021-03-20,2,
62,Bob,20,Female,,,2020-01-15,1,Needs Improvement
63,Bob,50,Male,30000,HR,2020-01-15,,
64,Alice,20,Female,60000,Marketing,,,Average
65,Bob,30,F,40000,Finance,2022-11-11,5,Average
66,Eva,20,Female,,finance,2021-03-20,100,Good
67,Bob,25,Unknown,30000, it ,2019-07-01,100,Needs Improvement
68,David,25,F,50000,HR,2021-03-20,4,
69,David,35,Female,30000,HR,2019-07-01,5,Excellent
70,  Alice  ,40,F,50000,HR,2022-11-11,4,Average
71,David,45,Female,60000,,2019-07-01,100,Average
72,  Alice  ,,Unknown,40000,Marketing,,5,Excellent
73,David,50,Female,30000,,,5,
74,Eva,20,Female,80000,Marketing,,5,
75,  Alice  ,20,Female,80000,,,100,Needs Improvement
76,Charlie,30,Male,70000,,2021-03-20,4,Needs Improvement
77,,40,Male,,finance,2022-11-11,4,Good
78,Alice,25,Male,60000,Finance,2019-07-01,5,Average
79,David,,Unknown,30000,,2019-07-01,2,Needs Improvement
80,Bob,35,F,80000,finance,,3,
81,David,25,M,,IT,,100,Excellent
82,Bob,50,Female,80000,Finance,2020-01-15,3,
83,,40,Female,30000,,2022-11-11,3,Average
84,,50,Unknown,50000, it ,2021-03-20,4,
85,,45,Female,30000,HR,2019-07-01,4,Good
86,Bob,35,Male,70000,IT,2020-01-15,2,Average
87,David,45,M,30000,IT,2020-01-15,3,Excellent
88,,30,,30000,finance,2019-07-01,3,Good
89,Eva,50,Female,70000,IT,2021-03-20,5,Average
90,  Alice  ,30,Male,60000,Finance,2020-01-15,4,Excellent
91,Bob,20,,30000,,2020-01-15,3,Good
92,Bob,45,M,70000,,2022-11-11,,Good
93,David,40,,, it ,2021-03-20,2,Average
94,Bob,50,Male,50000,HR,2020-01-15,,Needs Improvement
95,Bob,,F,50000,finance,2021-03-20,,Good
96,,35,F,30000,HR,2019-07-01,100,Good
97,David,25,,60000,IT,,100,Excellent
98,,40,Unknown,60000, it ,2020-01-15,2,
99,  Alice  ,40,,,HR,2022-11-11,,Average
100,  Alice  ,30,Female,30000,Finance,2019-07-01,3,Average
101,,45,Female,50000,,2021-03-20,4,Needs Improvement
102,  Alice  ,50,F,60000,IT,2019-07-01,2,Needs Improvement
103,David,50,Unknown,30000, it ,2020-01-15,5,Average
104,Alice,20,Male,80000,HR,2021-03-20,,Needs Improvement
105,,20,Female,60000,finance,,2,Excellent
106,Eva,35,F,70000,Finance,2019-07-01,1,Average
107,Eva,30,M,80000,Finance,2020-01-15,1,Needs Improvement
108,Bob,40,F,60000,HR,2022-11-11,100,Average
109,  Alice  ,50,Female,50000,,2021-03-20,4,
110,Eva,,Female,40000,HR,2019-07-01,3,Good
111,Bob,30,F,80000,IT,2019-07-01,4,Average
112,Alice,35,Male,,HR,,4,Good
113,David,35,,,Finance,,4,Needs Improvement
114,David,30,Female,50000, it ,2022-11-11,4,Good
115,David,35,F,60000,HR,2022-11-11,5,Average
116,Eva,30,F,30000,,2020-01-15,5,
117,Alice,25,Unknown,60000, it ,2020-01-15,100,Needs Improvement
118,Eva,30,,50000,finance,2022-11-11,2,Average
119,  Alice  ,45,M,,Marketing,2022-11-11,1,Needs Improvement
120,Eva,30,Male,60000,HR,2021-03-20,4,Excellent
121,Alice,35,M,,,,100,Good
122,Alice,50,,80000, it ,2020-01-15,2,Excellent
123,  Alice  ,45,,30000,,,1,Average
124,Alice,35,,80000,finance,,,
125,Alice,20,M,,Finance,2022-11-11,3,Needs Improvement
126,David,20,,,,2021-03-20,5,Good
127,  Alice  ,50,F,40000, it ,2019-07-01,,Needs Improvement
128,Charlie,50,M,40000,,2021-03-20,1,Average
129,Charlie,45,,80000,,2021-03-20,,Needs Improvement
130,Alice,25,F,70000,,,3,Good
131,Charlie,50,Unknown,80000,IT,2021-03-20,100,Average
132,Charlie,20,,40000,IT,2020-01-15,1,Needs Improvement
133,Alice,30,M,,Finance,,,
134,Charlie,35,Female,50000,HR,2020-01-15,5,Average
135,Eva,20,,80000,,2019-07-01,5,Average
136,Bob,20,Female,,finance,,2,
137,  Alice  ,25,F,50000,HR,2019-07-01,,Excellent
138,Bob,45,Unknown,50000,finance,,4,Good
139,Alice,45,Male,40000,HR,2022-11-11,,Excellent
140,David,40,Unknown,80000,Finance,2021-03-20,100,Needs Improvement
141,  Alice  ,25,,60000,,2022-11-11,1,
142,Alice,30,Female,30000,,2019-07-01,1,Excellent
143,David,45,Female,40000,Marketing,2021-03-20,100,Average
144,Bob,35,M,40000,finance,,,Needs Improvement
145,Alice,50,Female,60000,HR,2021-03-20,100,Needs Improvement
146,  Alice  ,25,M,30000,HR,2020-01-15,3,Excellent
147,  Alice  ,50,F,,IT,2021-03-20,100,Excellent
148,,20,Male,70000,Marketing,2020-01-15,5,
149,Eva,35,,80000, it ,2021-03-20,100,Good
150,Charlie,35,M,70000, it ,2020-01-15,1,Excellent
151,David,20,Male,,IT,2019-07-01,5,Excellent
152,,25,Female,40000,IT,2022-11-11,1,Average
153,Charlie,20,Female,30000,IT,,2,Needs Improvement
154,Charlie,50,Male,40000,finance,2021-03-20,4,Good
155,Alice,40,Female,50000,finance,2022-11-11,1,Average
156,Charlie,35,F,40000,Finance,,5,
157,Eva,,F,40000,Finance,,2,
158,  Alice  ,,Male,,IT,2020-01-15,1,Excellent
159,,50,M,,Marketing,2019-07-01,3,Excellent
160,Charlie,30,M,,HR,2019-07-01,100,
161,Alice,45,Male,70000,finance,2022-11-11,4,Excellent
162,Eva,20,M,50000,Marketing,2019-07-01,1,Good
163,Bob,20,M,,,2021-03-20,2,Excellent
164,  Alice  ,30,F,30000,finance,2019-07-01,3,Needs Improvement
165,  Alice  ,30,M,70000,finance,2022-11-11,,Excellent
166,,50,Unknown,60000,Finance,2019-07-01,2,Average
167,  Alice  ,50,,30000,HR,2021-03-20,100,Good
168,Charlie,30,Female,80000,HR,2020-01-15,2,Average
169,Alice,35,Unknown,80000, it ,2022-11-11,3,Average
170,  Alice  ,50,M,30000, it ,2020-01-15,2,Needs Improvement
171,  Alice  ,40,F,, it ,2020-01-15,3,Good
172,Bob,50,Male,60000, it ,2020-01-15,1,Good
173,Bob,20,M,60000,,,3,Good
174,David,50,F,70000,,,3,Good
175,Eva,35,,60000,finance,2020-01-15,4,Good
176,Charlie,30,M,80000,IT,2022-11-11,3,Needs Improvement
177,  Alice  ,20,Male,50000,Finance,2021-03-20,3,Excellent
178,  Alice  ,50,F,,Finance,2021-03-20,,Average
179,Alice,35,F,60000, it ,2019-07-01,1,Good
180,David,40,F,70000,finance,2022-11-11,100,Excellent
181,Eva,50,,80000,Marketing,,4,Excellent
182,David,35,M,50000,IT,2020-01-15,,Average
183,,40,,40000,finance,2019-07-01,5,Needs Improvement
184,Eva,30,Female,40000,IT,2021-03-20,1,
185,  Alice  ,50,Female,50000,IT,,1,
186,  Alice  ,40,M,80000,IT,,5,Excellent
187,Eva,20,,70000,finance,2020-01-15,100,Average
188,  Alice  ,30,Male,50000, it ,2021-03-20,3,
189,Charlie,20,F,,Finance,2022-11-11,,Excellent
190,Eva,,F,,Finance,,2,Needs Improvement
191,David,25,M,40000, it ,2020-01-15,4,
192,Eva,50,Female,60000,IT,2022-11-11,2,Excellent
193,  Alice  ,40,Female,70000,Marketing,2021-03-20,5,Excellent
194,Charlie,25,F,40000,HR,,1,Good
195,Charlie,25,M,60000,finance,2022-11-11,100,Needs Improvement
196,,40,,60000,HR,2022-11-11,1,Good
197,David,30,Female,, it ,2022-11-11,4,Average
198,Bob,50,,80000,Marketing,,1,Good
199,Bob,,Female,30000,finance,,1,Good
200,Eva,20,Female,80000, it ,2019-07-01,4,
59,Alice,30,M,60000,IT,2020-01-15,5,Needs Improvement
41,,50,F,30000,finance,2022-11-11,,Good
35,Charlie,40,,40000,HR,,4,Needs Improvement
103,David,50,Unknown,30000, it ,2020-01-15,5,Average
185,  Alice  ,50,Female,50000,IT,,1,
199,Bob,,Female,30000,finance,,1,Good
96,,35,F,30000,HR,2019-07-01,100,Good
5,Charlie,35,F,,finance,2022-11-11,2,Needs Improvement
30,Eva,45,Male,,Marketing,2022-11-11,,Average
169,Alice,35,Unknown,80000, it ,2022-11-11,3,Average
